other,AT32UC3A0512,uc3a0512
AT90,AT90CAN128,c128
AT90,AT90CAN32,c32
AT90,AT90CAN64,c64
AT90,AT90PWM2,pwm2
AT90,AT90PWM216,pwm216
AT90,AT90PWM2B,pwm2b
AT90,AT90PWM3,pwm3
AT90,AT90PWM316,pwm316
AT90,AT90PWM3B,pwm3b
AT90,AT90S1200,1200
AT90,AT90S2313,2313
AT90,AT90S2333,2333
AT90,AT90S2343,2343
AT90,AT90S4414,4414
AT90,AT90S4433,4433
AT90,AT90S4434,4434
AT90,AT90S8515,8515
AT90,AT90S8535,8535
AT90,AT90USB1286,usb1286
AT90,AT90USB1287,usb1287
AT90,AT90USB162,usb162
AT90,AT90USB646,usb646
AT90,AT90USB647,usb647
AT90,AT90USB82,usb82
ATmege,ATmega103,m103
ATmege,ATmega128,m128
ATmege,ATmega1280,m1280
ATmege,ATmega1281,m1281
ATmege,ATmega1284,m1284
ATmege,ATmega1284P,m1284p
ATmege,ATmega1284RFR2,m1284rfr2
ATmege,ATmega128RFA1,m128rfa1
ATmege,ATmega128RFR2,m128rfr2
ATmege,ATmega16,m16
ATmege,ATmega161,m161
ATmege,ATmega162,m162
ATmege,ATmega163,m163
ATmege,ATmega164P,m164p
ATmege,ATmega168,m168
ATmege,ATmega168P,m168p
ATmege,ATmega168PB,m168pb
ATmege,ATmega169,m169
ATmege,ATmega16U2,m16u2
ATmege,ATmega2560,m2560
ATmege,ATmega2561,m2561
ATmege,ATmega2564RFR2,m2564rfr2
ATmege,ATmega256RFR2,m256rfr2
ATmege,ATmega32,m32
ATmege,ATmega3208,m3208
ATmege,ATmega3209,m3209
ATmege,ATmega324P,m324p
ATmege,ATmega324PA,m324pa
ATmege,ATmega325,m325
ATmege,ATmega3250,m3250
ATmege,ATmega328,m328
ATmege,ATmega328P,m328p
ATmege,ATmega328PB,m328pb
ATmege,ATmega329,m329
ATmege,ATmega3290,m3290
ATmege,ATmega3290P,m3290p
ATmege,ATmega329P,m329p
ATmege,ATmega32M1,m32m1
ATmege,ATmega32U2,m32u2
ATmege,ATmega32U4,m32u4
ATmege,ATMEGA406,m406
ATmege,ATmega48,m48
ATmege,ATmega4808,m4808
ATmege,ATmega4809,m4809
ATmege,ATmega48P,m48p
ATmege,ATmega48PB,m48pb
ATmege,ATmega64,m64
ATmege,ATmega640,m640
ATmege,ATmega644,m644
ATmege,ATmega644P,m644p
ATmege,ATmega644RFR2,m644rfr2
ATmege,ATmega645,m645
ATmege,ATmega6450,m6450
ATmege,ATmega649,m649
ATmege,ATmega6490,m6490
ATmege,ATmega64M1,m64m1
ATmege,ATmega64RFR2,m64rfr2
ATmege,ATmega8,m8
ATmege,ATmega8515,m8515
ATmege,ATmega8535,m8535
ATmege,ATmega88,m88
ATmege,ATmega88P,m88p
ATmege,ATmega88PB,m88pb
ATmege,ATmega8U2,m8u2
ATtiny,ATtiny10,t10
ATtiny,ATtiny11,t11
ATtiny,ATtiny12,t12
ATtiny,ATtiny13,t13
ATtiny,ATtiny15,t15
ATtiny,ATtiny1604,t1604
ATtiny,ATtiny1606,t1606
ATtiny,ATtiny1607,t1607
ATtiny,ATtiny1614,t1614
ATtiny,ATtiny1616,t1616
ATtiny,ATtiny1617,t1617
ATtiny,ATtiny1634,t1634
ATtiny,ATtiny20,t20
ATtiny,ATtiny202,t202
ATtiny,ATtiny204,t204
ATtiny,ATtiny212,t212
ATtiny,ATtiny214,t214
ATtiny,ATtiny2313,t2313
ATtiny,ATtiny24,t24
ATtiny,ATtiny25,t25
ATtiny,ATtiny26,t26
ATtiny,ATtiny261,t261
ATtiny,ATtiny28,t28
ATtiny,ATtiny3214,t3214
